year,Seals_BM,Cormorant_BM,Gadus_morhua_BM,Juvenile_Sander_lucioperca_BM,Adult_Sander_lucioperca_BM,Esox_lucius_BM,Juvenile_Perca_fluviatilis_BM,Adult_Perca_fluviatilis_BM,Benthivorous_birds_BM,Benthivorous_fish_BM,Neogobius_melanostomus_BM,Clupea_harengus_BM,Sprattus_sprattus_BM,Rhithropanopeus_harrisii_BM,Gasterosteus_aculeatus_BM,Cyprinids_BM,Cercopagis_pengoi_BM,Mysids_BM,Predatory_benthos_BM,Invertebrate_grazers_BM,Mytilus_trossulus_BM,Benthic_bivalves_BM,Other_benthos_BM,Zooplankton_BM,Fucus_vesiculosus_BM,Filamentous_algae_BM,Phytoplankton_BM,Cyanobacteria_BM,Detritus_BM,climate_scen,fishing_scen,nutrients_scen,Seals_catch,Cormorant_catch,Gadus_morhua_catch,Juvenile_Sander_lucioperca_catch,Adult_Sander_lucioperca_catch,Esox_lucius_catch,Juvenile_Perca_fluviatilis_catch,Adult_Perca_fluviatilis_catch,Benthivorous_birds_catch,Benthivorous_fish_catch,Neogobius_melanostomus_catch,Clupea_harengus_catch,Sprattus_sprattus_catch,Rhithropanopeus_harrisii_catch,Gasterosteus_aculeatus_catch,Cyprinids_catch,Cercopagis_pengoi_catch,Mysids_catch,Predatory_benthos_catch,Invertebrate_grazers_catch,Mytilus_trossulus_catch,Benthic_bivalves_catch,Other_benthos_catch,Zooplankton_catch,Fucus_vesiculosus_catch,Filamentous_algae_catch,Phytoplankton_catch,Cyanobacteria_catch,Detritus_catch
2000,0.01696515,4.92E-06,4.05E-05,0.2743962,0.1192239,0.3863415,0.63429,0.8481385,0.005543362,1.539475,3.83E-05,4.408599,2.415718,6.81E-05,1.00406,12.82113,0.001085052,2.099249,2.02559,5.699579,11.21872,26.31436,6.871487,6.015156,3.791206,6.198776,8.223468,0.1083377,149.9814,RCP4.5,Dec,BSAP,2.46E-04,4.92E-08,3.58E-05,0.002775793,0.06447973,0.1087183,0.01085658,0.191784,0.001896982,0.03212283,1.59E-04,1.404253,0.416391,2.86E-04,0.06733108,0.1186285,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0.01811529,5.96E-06,4.05E-05,0.2714578,0.1192013,0.3864692,0.6445611,0.8252313,0.004848226,1.59914,3.95E-06,4.585755,2.202945,4.83E-05,0.9956982,12.93919,0.001379938,2.427676,2.102681,5.431743,11.5632,26.52037,7.32515,7.016884,4.410148,5.611457,8.83173,0.06750041,158.8141,RCP4.5,Dec,BSAP,3.24E-04,5.75E-08,3.58E-05,0.002685872,0.0630587,0.1076859,0.01135569,0.1920953,0.001659101,0.03284907,1.64E-05,1.976781,0.5147814,2.03E-04,0.08199841,0.1195078,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0.01900096,7.22E-06,4.22E-05,0.3068004,0.1223706,0.380068,0.7715793,0.8282124,0.004371719,1.89096,5.25E-07,5.397251,2.039491,3.58E-05,1.080363,13.55259,0.001905482,3.114097,2.374661,5.930092,13.00845,27.62733,8.470345,8.501142,4.262072,6.425369,9.729491,0.1221361,176.6755,RCP4.5,Dec,BSAP,3.88E-04,6.14E-08,3.45E-05,0.002814657,0.06004011,0.1042193,0.01334841,0.1893483,0.001496036,0.03662837,2.18E-06,2.462941,0.5049064,1.50E-04,0.09015048,0.12098,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0.01988132,8.80E-06,4.11E-05,0.3533443,0.1318868,0.3935555,0.8088878,0.9040771,0.004033515,2.286625,4.75E-08,5.563544,1.826179,1.66E-05,1.112625,14.36569,0.001545803,2.775185,2.283411,4.314311,13.13872,28.37213,7.50643,6.987616,5.7857,3.464772,8.617265,0.01934103,155.7198,RCP4.5,Dec,BSAP,4.77E-04,1.02E-07,4.02E-05,0.003840788,0.0766132,0.1078893,0.01411221,0.2083266,0.0013803,0.05036095,1.97E-07,2.080336,0.3695147,6.97E-05,0.08716171,0.1350693,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0.02080324,1.06E-05,3.93E-05,0.3733281,0.1429311,0.4382196,0.7102928,0.9694692,0.003670165,2.197109,9.66E-10,5.505399,2.095078,4.57E-06,1.020289,14.23757,0.001826681,2.763479,2.065964,5.93069,12.57218,27.86287,8.242599,8.310493,5.802478,7.823493,9.573788,0.2274515,177.4102,RCP4.5,Dec,BSAP,5.55E-04,1.05E-07,3.40E-05,0.003665313,0.07501518,0.1158812,0.01160822,0.2093011,0.001255959,0.04406034,3.81E-09,1.733464,0.3569649,1.92E-05,0.06770456,0.1257905,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0.02151717,1.29E-05,4.32E-05,0.3788684,0.153093,0.4140219,0.7986116,0.9837096,0.003431914,2.674783,4.76E-10,6.430243,3.24931,4.95E-06,1.181202,15.26648,0.00188851,3.247865,2.553844,7.332609,14.60852,29.41909,9.174706,8.18038,3.576557,7.383417,9.843856,0.2911235,183.4013,RCP4.5,Dec,BSAP,5.92E-04,1.13E-07,3.47E-05,0.003652573,0.07894057,0.12018,0.01343584,0.2186876,0.001174428,0.05302713,9.89E-10,1.355064,0.3699175,2.08E-05,0.05785469,0.1416128,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0.02307735,1.59E-05,4.64E-05,0.4357467,0.1839943,0.4382615,0.8678687,1.04016,0.003219163,2.932855,7.72E-10,5.5854,3.998536,3.47E-06,1.150913,16.05523,0.001296814,2.301201,2.18475,5.390488,13.89076,29.45028,7.929977,6.313921,3.813444,5.366919,8.867676,0.354365,164.4138,RCP4.5,Dec,BSAP,2.61E-04,1.44E-07,3.91E-05,0.004497233,0.1015844,0.1415865,0.01578798,0.2500543,0.001101623,0.06271321,8.01E-10,0.9742678,0.3761348,1.46E-05,0.05107443,0.16264,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0.02477713,1.92E-05,4.95E-05,0.4332865,0.1988922,0.4974549,0.672797,1.081071,0.002969248,2.433336,4.53E-09,4.875215,3.848148,2.89E-06,1.004168,15.59745,0.001274733,1.998552,1.941197,6.469418,12.76446,28.1982,8.105227,6.670266,2.075274,8.806663,8.927698,0.5492847,171.4478,RCP4.5,Dec,BSAP,4.48E-04,1.58E-07,3.77E-05,0.003918866,0.09621315,0.1347303,0.01076233,0.2285146,0.0010161,0.04510933,1.43E-12,1.15394,0.4926816,1.22E-05,0.05175246,0.1361103,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0.02576864,2.31E-05,6.00E-05,0.3741024,0.1846432,0.4795297,0.7238504,1.044815,0.002761154,2.34086,9.07E-08,4.759044,3.456988,4.83E-06,1.035659,15.63413,0.001039593,2.034448,2.13867,7.303999,12.92303,28.11715,7.70897,5.699678,0.5574855,8.435576,8.136784,0.5235217,158.816,RCP4.5,Dec,BSAP,7.91E-04,1.52E-07,3.73E-05,0.002714643,0.07166301,0.1043919,0.009587146,0.1828699,9.45E-04,0.03491919,2.52E-11,1.208301,0.4755444,1.93E-05,0.05222129,0.110547,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0.02623031,2.79E-05,7.16E-05,0.3810745,0.1782408,0.4726026,0.8126405,1.011488,0.002554889,2.211406,1.53E-06,4.670256,2.973909,2.25E-05,1.017563,15.48707,0.00137673,2.135649,2.007654,6.373085,12.5182,27.62321,7.871822,7.120582,0.2199962,7.543922,9.033959,0.3590417,168.1811,RCP4.5,Dec,BSAP,0.001303646,2.14E-07,5.00E-05,0.00296176,0.07406247,0.1007722,0.01116292,0.1835761,8.74E-04,0.03517402,4.94E-10,1.61577,0.55776,4.73E-05,0.06712109,0.1113418,0,0,0,0,0,0,0,0,0,0,0,0,0
