Value type,Sh group,Fishing.scen,Value
Recreation,Local,Dec,0.499013
Recreation,Cabin and sailing,Dec,0.531967
Recreation,Recreational user or professional,Dec,0.970477
Livelihood,Local,Dec,0.0579011
Livelihood,Cabin and sailing,Dec,-0.00182518
Livelihood,Recreational user or professional,Dec,0.166379
Recreation,Local,Gil,0.355832
Recreation,Cabin and sailing,Gil,0.334227
Recreation,Recreational user or professional,Gil,0.738209
Livelihood,Local,Gil,-0.0010947
Livelihood,Cabin and sailing,Gil,-0.0374899
Livelihood,Recreational user or professional,Gil,0.108384
Recreation,Local,SQ,0.213905
Recreation,Cabin and sailing,SQ,0.195124
Recreation,Recreational user or professional,SQ,0.605402
Livelihood,Local,SQ,-0.0640478
Livelihood,Cabin and sailing,SQ,-0.0662877
Livelihood,Recreational user or professional,SQ,0.0666392
Recreation,Local,Inc,0.0328293
Recreation,Cabin and sailing,Inc,-0.0998645
Recreation,Recreational user or professional,Inc,0.237751
Livelihood,Local,Inc,-0.135784
Livelihood,Cabin and sailing,Inc,-0.11873
Livelihood,Recreational user or professional,Inc,-0.0191629
