Value type,Sh group,Nutrients,Value
Recreation,Local,BSAP,0.431231
Recreation,Cabin and sailing,BSAP,0.427312
Recreation,Recreational user or professional,BSAP,0.808733
Livelihood,Local,BSAP,0.0271061
Livelihood,Cabin and sailing,BSAP,-0.00613807
Livelihood,Recreational user or professional,BSAP,0.127042
Recreation,Local,PLC55,0.119559
Recreation,Cabin and sailing,PLC55,0.0534152
Recreation,Recreational user or professional,PLC55,0.467187
Livelihood,Local,PLC55,-0.0986186
Livelihood,Cabin and sailing,PLC55,-0.106028
Livelihood,Recreational user or professional,PLC55,0.034078
