Value type,Sh group,Nutrients,Value
Livelihood,Cabin and sailing,BSAP,-0.000986062
Livelihood,Cabin and sailing,PLC55,-0.159495
Livelihood,Local,BSAP,0.0295995
Livelihood,Local,PLC55,-0.160447
Livelihood,Recreational user or professional,BSAP,0.20045
Livelihood,Recreational user or professional,PLC55,0.0565115
Recreation,Cabin and sailing,BSAP,0.626085
Recreation,Cabin and sailing,PLC55,0.0773665
Recreation,Local,BSAP,0.51281
Recreation,Local,PLC55,0.0333943
Recreation,Recreational user or professional,BSAP,0.99784
Recreation,Recreational user or professional,PLC55,0.468119
