Year,Stakeholder.group,Value.type,Climate.scenario,Fishing.scenario,Nutrient.scenario,Cyano,Fucus,Phyto,FilAlgae,Neogobius,Cercopagis,Rhitro,Seals,Cormorant,Clupea,Sander,Perca,Overall.expected.utility,,,
Y 2050-2059,Local,Recreation,RCP4.5,DEc,BSAP,-0.206897,0.853217,0.808376,-0.160789,-0.185704,-0.14642,-0.148248,0.0289608,-0.581767,0.369472,0.563803,0.591217,1.78522,,,
Y 2050-2059,Local,Recreation,RCP4.5,DEc,PLC55,-0.206897,0.691839,0.788199,-0.306247,-0.162054,-0.184256,-0.180078,0.0274804,-0.945442,0.419963,0.594707,0.613009,1.15022,,,
Y 2050-2059,Local,Recreation,RCP4.5,Inc,BSAP,-0.206897,0.860191,0.872061,-0.167413,-0.192957,-0.200571,-0.154405,0.0193455,-0.549932,0.261178,0.341516,0.336543,1.21866,,,
Y 2050-2059,Local,Recreation,RCP4.5,Inc,PLC55,-0.206897,0.687826,0.847543,-0.309651,-0.151945,-0.203143,-0.176452,0.0165464,-0.833483,0.268609,0.325981,0.338867,0.603801,,,
Y 2050-2059,Local,Recreation,RCP4.5,Gil,BSAP,-0.206897,0.863123,0.791395,-0.167915,-0.188188,-0.15869,-0.159507,0.0263834,-0.575244,0.323467,0.532728,0.487508,1.56816,,,
Y 2050-2059,Local,Recreation,RCP4.5,Gil,PLC55,-0.206897,0.697886,0.819558,-0.294269,-0.160933,-0.187142,-0.177516,0.0240345,-0.919881,0.36329,0.526353,0.516791,1.00127,,,
Y 2050-2059,Local,Recreation,RCP4.5,SQ,BSAP,-0.206897,0.855022,0.82508,-0.164832,-0.18259,-0.160543,-0.159731,0.0254312,-1.18938,0.317446,0.428951,0.436137,0.824092,,,
Y 2050-2059,Local,Recreation,RCP4.5,SQ,PLC55,-0.206897,0.694537,0.825568,-0.302936,-0.160008,-0.188321,-0.182823,0.0233574,-0.905015,0.361737,0.485774,0.508869,0.953841,,,
Y 2050-2059,Local,Recreation,RCP8.5,DEc,BSAP,-1.08198,0.419813,0.91908,-0.476287,-0.201172,-0.145856,-0.229899,0.0267844,-0.972067,0.351665,0.590745,0.713404,-0.0857691,,,
Y 2050-2059,Local,Recreation,RCP8.5,DEc,PLC55,-1.45254,0.249803,0.759381,-0.629826,-0.244412,-0.180494,-0.265549,0.0285667,-1.04562,0.423609,0.818201,0.897354,-0.641523,,,
Y 2050-2059,Local,Recreation,RCP8.5,Inc,BSAP,-1.08216,0.41231,0.93461,-0.482749,-0.215738,-0.180596,-0.232933,0.015548,-0.86396,0.219462,0.327184,0.510806,-0.638212,,,
Y 2050-2059,Local,Recreation,RCP8.5,Inc,PLC55,-1.46556,0.249036,0.745083,-0.625492,-0.252813,-0.199889,-0.263681,0.0194899,-0.945128,0.244559,0.558516,0.757569,-1.17831,,,
Y 2050-2059,Local,Recreation,RCP8.5,Gil,BSAP,-1.09463,0.424464,0.910496,-0.471628,-0.21749,-0.157667,-0.231969,0.0226893,-0.948775,0.304059,0.535034,0.646823,-0.278591,,,
Y 2050-2059,Local,Recreation,RCP8.5,Gil,PLC55,-1.45776,0.25826,0.745833,-0.634734,-0.242216,-0.185198,-0.262789,0.0250195,-1.03889,0.367644,0.769987,0.857268,-0.797575,,,
