Year,Nutrient scenario,Climate scenario,Fishing scenario,Stakeholder group,Value type,Cyano,Fucus,Phyto,FilAlgae,Neogobius,Cercopagis,Rhitro,Seals,Cormorant,Clupea,Sander,Perca,Overall expected utility
Y 2050-2059,BSAP,RCP4.5,DEc,Local,Recreation,-0.206897,0.853217,0.808376,-0.160789,-0.185704,-0.14642,-0.148248,0.0289608,-0.581767,0.369472,0.563803,0.591217,1.78522
Y 2050-2059,BSAP,RCP4.5,DEc,Cabin and sailing,Recreation,-0.222561,0.938538,0.832961,-0.230877,-0.316385,-0.249456,-0.252571,0.382494,-0.507321,0.393591,0.584684,0.779671,2.13277
Y 2050-2059,BSAP,RCP4.5,DEc,Recreational user or professional ,Recreation,-0.2325,0.801668,0.914563,-0.190023,-0.281012,-0.221566,-0.224333,0.911359,-0.489959,0.312421,0.52378,0.665969,2.49037
Y 2050-2059,BSAP,RCP4.5,DEc,Local,Professional,-0.0793269,0.342927,0.28904,-0.0700034,-0.107296,-0.084598,-0.0856545,-0.0971038,-0.25778,0.1839,0.247366,0.274438,0.555909
Y 2050-2059,BSAP,RCP4.5,DEc,Cabin and sailing,Professional,-0.0789474,0.216586,0.156443,-0.0595515,-0.0447065,-0.0352492,-0.0356894,0.0651617,-0.133802,0.0629131,0.123091,0.161004,0.397252
Y 2050-2059,BSAP,RCP4.5,DEc,Recreational user or professional ,Professional,-0.0853659,0.191974,0.248073,-0.0620589,-0.0434982,-0.0342965,-0.0347248,0.0619037,-0.128993,0.15325,0.171127,0.18552,0.62291
Y 2050-2059,BSAP,RCP8.5,DEc,Local,Recreation,-1.08198,0.419813,0.91908,-0.476287,-0.201172,-0.145856,-0.229899,0.0267844,-0.972065,0.351665,0.590745,0.713404,-0.0857676
Y 2050-2059,BSAP,RCP8.5,DEc,Cabin and sailing,Recreation,-1.1639,0.461794,0.947031,-0.6839,-0.342737,-0.248496,-0.39168,0.35375,-0.847675,0.374622,0.612624,0.940805,0.0122426
Y 2050-2059,BSAP,RCP8.5,DEc,Recreational user or professional ,Recreation,-1.21587,0.394449,1.03981,-0.562885,-0.304419,-0.220714,-0.34789,0.842872,-0.818665,0.297364,0.548809,0.803605,0.456461
Y 2050-2059,BSAP,RCP8.5,DEc,Local,Professional,-0.414846,0.168732,0.32902,-0.207363,-0.116233,-0.0842724,-0.132831,-0.0898065,-0.43072,0.175037,0.259187,0.331156,-0.212938
Y 2050-2059,BSAP,RCP8.5,DEc,Cabin and sailing,Professional,-0.412861,0.106568,0.177867,-0.176403,-0.0484302,-0.0351135,-0.0553461,0.0602649,-0.223568,0.0598811,0.128974,0.194278,-0.223889
Y 2050-2059,BSAP,RCP8.5,DEc,Recreational user or professional ,Professional,-0.446426,0.0944579,0.282046,-0.18383,-0.0471213,-0.0341645,-0.0538502,0.0572517,-0.215533,0.145864,0.179305,0.223861,0.00185986
Y 2050-2059,BSAP,RCP4.5,Inc,Local,Recreation,-0.206897,0.86019,0.872061,-0.167413,-0.192957,-0.200571,-0.154405,0.0193455,-0.549933,0.261178,0.341516,0.336543,1.21866
Y 2050-2059,BSAP,RCP4.5,Inc,Cabin and sailing,Recreation,-0.222561,0.946209,0.898582,-0.240388,-0.328742,-0.341713,-0.263061,0.255502,-0.47956,0.278228,0.354165,0.443817,1.30048
Y 2050-2059,BSAP,RCP4.5,Inc,Recreational user or professional ,Recreation,-0.2325,0.808221,0.986613,-0.197851,-0.291988,-0.303509,-0.23365,0.608778,-0.463149,0.220849,0.317273,0.379094,1.59818
